ID,CallName,CallDefLoc,ReturnType,NormalReturn,ErrorReturn
42,mkstemp,/usr/include/stdlib.h,INT,mkstemp_0==0,mkstemp_0==-1
43,issetugid,/usr/include/unistd.h,INT,issetugid_0==0,issetugid_0==1
44,mlockall,/usr/include/x86_64-linux-gnu/sys/mman.h,INT,mlockall_0==0,mlockall_0==-1
45,msync,/usr/include/x86_64-linux-gnu/sys/mman.h,INT,msync_0==0,msync_0==-1
46,munmap,/usr/include/x86_64-linux-gnu/sys/mman.h,INT,munmap_0==0,munmap_0==-1
47,pipe,/usr/include/unistd.h,INT,pipe_0==0,pipe_0==-1
48,putenv,/usr/include/stdlib.h,INT,putenv_0==0,putenv_0==-1
49,remove,/usr/include/stdio.h,INT,remove_0==0,remove_0==-1
50,rename,/usr/include/stdio.h,INT,rename_0==0,rename_0==-1
51,rmdir,/usr/include/unistd.h,INT,rmdir_0==0,rmdir_0==-1
52,sendfile,/usr/include/x86_64-linux-gnu/sys/socket.h,INT,sendfile_0==0,sendfile_0==-1
53,setegid,/usr/include/unistd.h,INT,setegid_0==0,setegid_0==-1
54,setenv,/usr/include/stdlib.h,INT,setenv_0==0,setenv_0==-1
55,seteuid,/usr/include/unistd.h,INT,seteuid_0==0,seteuid_0==-1
56,setgid,/usr/include/unistd.h,INT,setgid_0==0,setgid_0==-1
57,setgroups,/usr/include/grp.h,INT,setgroups_0==0,setgroups_0==-1
58,setitimer,/usr/include/x86_64-linux-gnu/sys/time.h,INT,setitimer_0==0,setitimer_0==-1
59,setregid,/usr/include/unistd.h,INT,setregid_0==0,setregid_0==-1
60,setreuid,/usr/include/unistd.h,INT,setreuid_0==0,setreuid_0==-1
61,setrlimit,/usr/include/x86_64-linux-gnu/sys/resource.h,INT,setrlimit_0==0,setrlimit_0==-1
62,setsockopt,/usr/include/x86_64-linux-gnu/sys/socket.h,INT,setsockopt_0==0,setsockopt_0==-1
63,setuid,/usr/include/unistd.h,INT,setuid_0==0,setuid_0==-1
64,shmctl,/usr/include/x86_64-linux-gnu/sys/shm.h,INT,shmctl_0==0,shmctl_0==-1
65,shmdt,/usr/include/x86_64-linux-gnu/sys/shm.h,INT,shmdt_0==0,shmdt_0==-1
66,shutdown,/usr/include/x86_64-linux-gnu/sys/socket.h,INT,shutdown_0==0,shutdown_0==-1
67,sigaction,/usr/include/signal.h,INT,sigaction_0==0,sigaction_0==-1
68,socketpair,/usr/include/x86_64-linux-gnu/sys/socket.h,INT,socketpair_0==0,socketpair_0==-1
69,stat,/usr/include/x86_64-linux-gnu/sys/stat.h,INT,stat_0==0,stat_0==-1
70,statfs,/usr/include/x86_64-linux-gnu/sys/mount.h,INT,statfs_0==0,statfs_0==-1
71,symlink,/usr/include/unistd.h,INT,symlink_0==0,symlink_0==-1
72,sysctl,/usr/include/x86_64-linux-gnu/sys/sysctl.h,INT,sysctl_0==0,sysctl_0==-1
73,sysctlbyname,/usr/include/x86_64-linux-gnu/sys/sysctl.h,INT,sysctlbyname_0==0,sysctlbyname_0==-1
74,tcgetattr,/usr/include/x86_64-linux-gnu/sys/termios.h,INT,tcgetattr_0==0,tcgetattr_0==-1
75,tcsetattr,/usr/include/x86_64-linux-gnu/sys/termios.h,INT,tcsetattr_0==0,tcsetattr_0==-1
76,truncate,/usr/include/unistd.h,INT,truncate_0==0,truncate_0==-1
77,uname,/usr/include/x86_64-linux-gnu/sys/utsname.h,INT,uname_0==0,uname_0==-1
78,unlink,/usr/include/unistd.h,INT,unlink_0==0,unlink_0==-1
79,utime,/usr/include/utime.h,INT,utime_0==0,utime_0==-1
